test_date,playing_level,bat_speed_mph_group,pitch_speed_mph_group,jump_height_(imp-mom)_[cm]_mean_cmj,lower-limb_stiffness_[n/m]_mean_cmj,peak_power_[w]_mean_cmj,peak_power_/_bm_[w/kg]_mean_cmj,eccentric_braking_rfd_[n/s]_mean_cmj,eccentric_duration_[ms]_mean_cmj,concentric_duration_[ms]_mean_cmj,rsi-modified_[m/s]_mean_cmj,countermovement_depth_[cm]_mean_cmj,"cmj_stiffness_asymmetry_[%_l,r]_mean_cmj","eccentric_deceleration_impulse_(asymmetry)_[%_l,r]_mean_cmj","p1_concentric_impulse_asymmetry_[%_l,r]_mean_cmj","p2_concentric_impulse_asymmetry_[%_l,r]_mean_cmj",concentric_peak_force_[n]_mean_cmj,eccentric_peak_force_[n]_mean_cmj,minimum_eccentric_force_[n]_mean_cmj,jump_height_(imp-mom)_[cm]_mean_sj,peak_power_[w]_mean_sj,peak_power_/_bm_[w/kg]_mean_sj,"p1_concentric_impulse_asymmetry_[%_l,r]_mean_sj","p2_concentric_impulse_asymmetry_[%_l,r]_mean_sj",peak_vertical_force_[n]_max_imtp,net_peak_vertical_force_[n]_max_imtp,force_at_100ms_[n]_max_imtp,force_at_150ms_[n]_max_imtp,force_at_200ms_[n]_max_imtp,best_active_stiffness_[n/m]_mean_ht,best_jump_height_(flight_time)_[cm]_mean_ht,best_rsi_(flight/contact_time)_mean_ht,best_rsi_(jump_height/contact_time)_[m/s]_mean_ht,peak_takeoff_force_[n]_mean_pp,peak_eccentric_force_[n]_mean_pp,"peak_takeoff_force_asymmetry_[%_l,r]_mean_pp","peak_eccentric_force_asymmetry_[%_l,r]_mean_pp",TSpineRomR,TSpineRomL,ShoulderERL,ShoulderERR,ShoulderIRL,ShoulderIRR,pitching_session_date,pitch_speed_mph,pitching_max_hss,hitting_session_date,bat_speed_mph,hitting_max_hss,relative_strength,body_weight_[lbs]
2021-12-15,College,<65,,36.46,5805.27,4291.17,55.8,6197.64,458.75,226.75,0.58,-29.55,4.17,4.75,3.91,9.65,2013.42,1902.93,175.44,34.54,4029.58,52.4,-0.14,7.86,3296.2,2541.09,1197.2,1399.2,1605.6,28360.54,25.49,2.27,120.91,,,,,58.0,42.0,24.1,28.5,30.7,27.7,,,,2021-12-14,63.1,24.2,3.37,169.18
2021-12-16,College,65-70,,45.52,4692.88,4513.61,56.97,6793.92,519.0,292.0,0.66,-46.28,-1.66,-5.17,-7.19,0.62,2200.08,2224.94,52.47,39.4,4309.62,54.39,-0.62,0.78,3442.2,2664.53,1348.8,1910.8,2389.9,35941.38,33.72,2.75,174.29,,,,,65.0,61.0,55.8,50.0,55.5,73.8,,,,2021-12-16,68.4,11.7,3.43,174.31
2021-12-16,High School,<65,,39.93,4612.19,4809.83,57.84,5928.68,494.0,315.75,0.54,-42.37,-6.47,-9.79,-9.56,-10.25,2086.25,2028.2,69.85,38.3,5304.03,63.78,-16.35,-14.9,3316.6,2502.65,1160.6,1417.7,1697.8,50062.43,31.26,2.86,176.86,,,,,50.0,53.0,43.6,44.9,60.1,55.4,,,,2021-12-16,61.3,10.5,3.07,182.95
2021-12-17,College,<65,,35.06,5361.2,3926.06,51.11,5957.7,465.0,252.25,0.53,-31.33,-4.92,3.09,-6.47,-11.56,1907.72,1891.05,208.58,31.99,3635.37,47.33,4.82,-6.4,3963.1,3208.18,2216.1,2819.1,2727.3,33488.92,24.5,2.25,121.79,,,,,60.0,60.0,48.9,59.1,43.8,58.9,,,,2021-12-17,56.7,16.4,4.26,169.0
2021-12-17,College,<65,,33.74,7710.96,4711.33,52.33,11087.21,391.33,235.33,0.6,-31.03,7.87,5.7,3.56,4.32,2402.95,2455.41,62.13,30.13,4265.33,47.37,4.64,5.79,4810.0,3926.72,2419.1,3147.3,3420.5,74677.44,26.73,3.0,176.1,,,,,57.0,49.0,57.1,51.1,53.5,56.9,,,,2021-12-20,63.2,25.3,4.45,198.09
2021-12-20,College,70+,,39.13,5044.07,4574.27,53.4,6183.79,524.75,253.5,0.55,-39.76,3.57,-0.7,4.16,-1.35,2285.21,2287.63,288.94,35.88,4587.42,53.56,-15.12,-1.67,4124.9,3280.84,1237.6,1717.8,2139.2,44961.36,28.51,2.81,162.13,,,,,60.0,49.0,35.7,41.6,47.1,47.0,,,,2021-12-20,72.1,21.1,3.91,188.45
2021-12-21,College,65-70,,32.7,7162.7,5131.43,49.64,8108.72,466.5,265.0,0.45,-32.49,5.61,16.7,2.16,-10.6,2473.63,2423.74,97.69,27.22,4560.75,44.12,-2.86,-6.48,4459.0,3440.78,1519.7,1724.2,2039.7,38275.75,24.79,2.13,117.24,,,,,60.0,58.0,45.1,51.8,41.8,49.2,,,,2021-12-21,67.9,19.0,3.39,227.41
2021-12-21,College,70+,,57.17,5798.61,5649.81,76.64,9385.92,414.5,253.75,0.95,-38.71,12.09,10.97,-0.25,2.6,2220.93,2289.91,47.16,50.97,5161.08,70.01,-0.5,4.15,3939.9,3216.07,2214.0,2822.6,3059.3,39320.04,44.22,3.12,228.13,,,,,57.0,57.0,49.6,52.9,58.6,67.1,,,,2021-12-21,71.1,15.7,4.45,162.18
2021-12-21,College,70+,,37.18,6017.4,5357.23,50.38,7490.66,503.5,315.5,0.53,-39.31,-3.08,-1.14,-3.66,-2.76,2426.22,2433.83,68.86,28.99,4640.31,43.64,-1.35,-2.43,3342.3,2295.05,2009.9,2439.4,2739.3,34503.62,29.67,2.13,125.06,,,,,60.0,61.0,51.1,54.2,52.3,81.3,,,,2021-12-20,70.7,22.6,2.2,233.97
2021-12-22,High School,65-70,,36.46,5993.09,4844.2,56.22,5559.18,516.0,252.5,0.52,-31.31,5.46,4.36,10.1,1.82,2179.21,1935.38,318.76,33.27,4744.45,55.07,27.0,3.98,3354.7,2506.82,1998.1,2796.4,3101.8,34009.45,29.5,2.36,139.13,,,,,43.0,40.0,56.4,54.2,56.3,71.1,,,,2021-12-21,66.3,22.2,2.97,189.55
2021-12-22,College,<65,,45.86,6352.72,5971.12,63.23,8523.15,526.75,260.5,0.63,-35.18,-6.84,-4.46,-2.97,-1.61,2343.52,2315.48,80.68,39.79,5427.95,57.48,-8.49,-2.57,4373.0,3442.15,1659.3,2329.8,2851.6,50850.74,42.96,3.36,243.46,,,,,51.0,69.0,60.7,46.9,52.5,39.5,,,,2021-12-21,63.7,18.4,3.72,207.77
