dataset,column,dtype,example,description,documented
hitting_metadata,session_swing,str,6_1,unique swing identifier,True
hitting_metadata,session_mass_lbs,float64,209.0,body mass in pounds,True
hitting_metadata,session_height_in,float64,72.0,body height in inches,True
hitting_metadata,athlete_age,int64,23,athlete age in years,True
hitting_metadata,highest_playing_level,str,milb,highest playing level attained,True
hitting_metadata,hitter_side,str,R,"hitting side (L = left handed swing, R = right handed swing)",True
hitting_metadata,bat_weight_oz,float64,31.0,bat weight in ounces,True
hitting_metadata,bat_length_in,float64,34.0,bat length in inches,True
hitting_metadata,bat_speed_mph_max_x,float64,66.9317,maximum resultant bat speed (miles per hour),True
hitting_metadata,blast_bat_speed_mph_x,float64,67.0,bat speed at contact as measured by Blast Motion sensor (miles per hour),True
hitting_metadata,exit_velo_mph_x,float64,94.2,exit velocity (miles per hour),True
hitting_metadata,user,int64,5,unique athlete identifier,True
hitting_metadata,session,int64,6,unique session ID,True
hitting_hittrax,session_swing,str,103_1,unique swing identifier,True
hitting_hittrax,pitch,float64,57.8,velocity of incoming pitch (from machine) (mph),True
hitting_hittrax,strike_zone,float64,8.0,strike zone region of pitch,True
hitting_hittrax,la,int64,5,launch angle (deg),True
hitting_hittrax,dist,int64,123,carry distance (ft),True
hitting_hittrax,res,str, 1B-7,predicted result of ball in play,True
hitting_hittrax,bearing,int64,-22,"spray angle (deg) (0 = straight back at pitcher; + = lefty pull field, - = righty pull field)",True
hitting_hittrax,vertical_distance,float64,-4.4,distance from center of strike zone (inches) (+ values = higher than middle of strike zone),True
hitting_hittrax,horizontal_distance,float64,2.2,distance from center of strike zone (inches) (+ values = pitches inside to right handed batter),True
hitting_hittrax,poi_x,float64,-2.16,horizontal point of impact coordinate (0 = back tip of home plate; + = inside to left handed batter),True
hitting_hittrax,poi_y,float64,28.02,vertical point of impact coordinate (0 = ground; + = above ground),True
hitting_hittrax,poi_z,float64,18.43,point of impact coordinate (0 = back tip of home plate; + values = towards pitcher),True
hitting_hittrax,pitch_angle,float64,-7.0,descent angle of incoming pitch (deg),True
